generation    1.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   4.41630e-01  6.81389e-01  1.88734e-03  1.02245e+00  1.28894e+00  4.75348e-07  2.40000e+01  0.00000e+00 
   3.70381e-01  2.64993e-01  3.66419e-03  2.29473e-02  1.17627e+00  9.13570e-07  3.90000e+01  0.00000e+00 
   4.10243e-01  1.82042e-01  2.69509e-03  1.61764e+00  1.04068e+00  6.78787e-07  3.30000e+01  0.00000e+00 
   3.31954e-01  1.42334e-01  3.48976e-03  7.83054e-01  1.17589e+00  8.78935e-07  3.70000e+01  0.00000e+00 
   3.47437e-01  6.23981e-01  2.12689e-03  8.41328e-01  9.90762e-01  5.35680e-07  2.60000e+01  0.00000e+00 
   4.15675e-01  6.23394e-01  1.05573e-03  6.74476e-01  8.28022e-01  2.65896e-07  1.00000e+01  0.00000e+00 
   3.56443e-01  3.94299e-01  2.13235e-03  9.84462e-01  9.19257e-01  5.37055e-07  2.70000e+01  0.00000e+00 
   3.95963e-01  5.55841e-01  4.50340e-04  1.45507e+00  1.08986e+00  1.13425e-07  3.00000e+00  0.00000e+00 
   4.07253e-01  6.33973e-01  1.45507e-03  9.88031e-01  1.02169e+00  3.66476e-07  1.20000e+01  0.00000e+00 
   3.95745e-01  3.34459e-01  2.74181e-03  9.11907e-01  1.25875e+00  6.90554e-07  3.40000e+01  0.00000e+00 
   4.11293e-01  2.36248e-01  1.93517e-03  1.36906e+00  1.13244e+00  4.87394e-07  2.50000e+01  0.00000e+00 
   3.82637e-01  2.76439e-01  9.59870e-04  1.13176e+00  1.22867e+00  2.41754e-07  8.00000e+00  0.00000e+00 
   3.59027e-01  2.91986e-01  1.78011e-03  3.18085e-01  8.03592e-01  4.48340e-07  2.00000e+01  0.00000e+00 
   4.08706e-01  3.82622e-01  2.43062e-03  2.65315e-01  9.52194e-01  6.12177e-07  2.80000e+01  0.00000e+00 
   3.48139e-01  5.47846e-01  2.97069e-03  9.30290e-01  1.08925e+00  7.48201e-07  3.60000e+01  0.00000e+00 
   3.08479e-01  1.43129e-01  4.28032e-04  7.28177e-01  1.04938e+00  1.06680e-07  1.00000e+00  0.00000e+00 
   3.28391e-01  4.15919e-01  1.07115e-03  2.48655e-01  1.35142e+00  2.62239e-07  9.00000e+00  0.00000e+00 
   4.37441e-01  6.17150e-01  2.60187e-03  1.43271e+00  1.08363e+00  6.55309e-07  3.10000e+01  0.00000e+00 
   3.80964e-01  4.95956e-01  1.77121e-03  1.01344e-01  1.09120e+00  4.54610e-07  2.10000e+01  0.00000e+00 
   3.38573e-01  3.64566e-01  8.19886e-04  1.19322e+00  1.07477e+00  2.06497e-07  7.00000e+00  0.00000e+00 
   3.46964e-01  4.02189e-01  2.46220e-03  1.13236e+00  1.20709e+00  6.20132e-07  2.90000e+01  0.00000e+00 
   4.16978e-01  4.68683e-01  1.68012e-03  3.21827e-01  7.55501e-01  4.23157e-07  1.70000e+01  0.00000e+00 
   3.30649e-01  6.33973e-01  1.68053e-03  1.79608e+00  7.37840e-01  4.23259e-07  1.80000e+01  0.00000e+00 
   3.93229e-01  4.43261e-01  1.53671e-03  1.36443e-01  1.05850e+00  3.87174e-07  1.60000e+01  0.00000e+00 
   3.99286e-01  3.15227e-01  1.78531e-03  7.48473e-02  1.34081e+00  4.60015e-07  2.30000e+01  0.00000e+00 
   3.93470e-01  5.42768e-01  1.73737e-03  5.95133e-01  8.93017e-01  4.37575e-07  1.90000e+01  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  9.32313e-01  8.52780e-01  3.73747e-07  1.30000e+01  0.00000e+00 
