generation    1.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.68048e-01  5.49274e-01  7.37487e-03  6.06461e-01  6.97524e-06  3.40000e+01  0.00000e+00 
   3.87673e-01  2.46648e-01  4.37151e-03  1.33126e+00  5.69544e-06  2.20000e+01  0.00000e+00 
   3.39165e-01  3.08819e-01  7.72292e-03  1.59640e-01  7.23638e-06  3.60000e+01  0.00000e+00 
   3.10486e-01  2.22793e-01  7.15278e-03  1.48444e+00  4.73941e-06  1.20000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  5.06071e-03  1.61340e+00  4.21328e-06  1.00000e+01  0.00000e+00 
   3.53864e-01  4.31491e-01  8.21487e-03  8.42008e-01  6.97788e-06  3.50000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  4.23508e-03  1.45731e+00  5.39673e-06  1.90000e+01  0.00000e+00 
   3.15476e-01  1.75645e-01  7.45900e-03  1.38083e+00  5.48324e-06  2.00000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  6.60206e-03  1.61018e+00  4.93613e-06  1.60000e+01  0.00000e+00 
   3.74037e-01  6.83665e-01  5.63265e-03  1.39988e+00  6.76107e-06  3.00000e+01  0.00000e+00 
   3.95357e-01  5.30378e-01  4.27442e-03  1.11220e+00  3.86534e-06  7.00000e+00  0.00000e+00 
   4.03179e-01  1.99584e-01  6.96094e-03  1.59013e+00  4.42512e-06  1.10000e+01  0.00000e+00 
   4.36747e-01  2.18531e-01  6.01700e-03  1.39440e+00  4.83378e-06  1.50000e+01  0.00000e+00 
   4.49839e-01  2.30954e-01  7.61639e-03  1.51845e+00  5.54818e-06  2.10000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  6.37686e-03  1.38044e+00  2.86392e-06  2.00000e+00  0.00000e+00 
   4.12466e-01  3.21198e-01  5.64744e-03  4.56458e-01  7.34055e-06  3.80000e+01  0.00000e+00 
   3.41666e-01  4.32382e-01  7.29657e-03  1.15052e+00  4.74956e-06  1.30000e+01  0.00000e+00 
                                                                                      
generation    4.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.81476e-01  4.45981e-01  4.72028e-03  1.37484e+00  2.74451e-06  4.00000e+00  0.00000e+00 
   3.11946e-01  5.08360e-01  4.41491e-03  7.03815e-01  2.61698e-06  1.00000e+00  0.00000e+00 
   3.13400e-01  5.63581e-01  4.83818e-03  1.05437e+00  4.64573e-06  2.50000e+01  0.00000e+00 
   4.41230e-01  3.91566e-01  7.26311e-03  1.51287e+00  4.42150e-06  2.20000e+01  0.00000e+00 
   4.04287e-01  3.70425e-01  4.52646e-03  1.40699e+00  4.51173e-06  2.40000e+01  0.00000e+00 
   4.16754e-01  4.35431e-01  6.76401e-03  5.72309e-01  5.03179e-06  3.30000e+01  0.00000e+00 
   4.02256e-01  4.57561e-01  7.99180e-03  5.93670e-01  4.97210e-06  3.20000e+01  0.00000e+00 
   4.33813e-01  3.93068e-01  6.22643e-03  1.75168e+00  2.79678e-06  5.00000e+00  0.00000e+00 
   4.35180e-01  4.59010e-01  6.12838e-03  1.04112e+00  2.63594e-06  2.00000e+00  0.00000e+00 
   4.48851e-01  3.69835e-01  4.46767e-03  1.72912e+00  3.86746e-06  1.70000e+01  0.00000e+00 
   4.39941e-01  5.67924e-01  6.37637e-03  1.48268e+00  4.00273e-06  1.90000e+01  0.00000e+00 
   3.15984e-01  5.09999e-01  5.42413e-03  1.73204e+00  2.96803e-06  8.00000e+00  0.00000e+00 
   4.09874e-01  3.72249e-01  7.51999e-03  8.44876e-01  4.94903e-06  3.10000e+01  0.00000e+00 
   4.33342e-01  3.58566e-01  7.38418e-03  8.12816e-01  5.57892e-06  3.90000e+01  0.00000e+00 
   3.66746e-01  3.82893e-01  5.63451e-03  1.44235e+00  3.31999e-06  1.10000e+01  0.00000e+00 
   3.53057e-01  3.74980e-01  6.47090e-03  1.20729e+00  3.56196e-06  1.30000e+01  0.00000e+00 
   3.64467e-01  4.20711e-01  5.93994e-03  1.03259e+00  3.53472e-06  1.20000e+01  0.00000e+00 
   3.76063e-01  5.08331e-01  5.67097e-03  1.71307e+00  2.93940e-06  7.00000e+00  0.00000e+00 
   3.28067e-01  3.81403e-01  6.09903e-03  7.50480e-01  5.36076e-06  3.50000e+01  0.00000e+00 
   3.68764e-01  5.49740e-01  3.11368e-03  1.36860e+00  3.81642e-06  1.40000e+01  0.00000e+00 
   4.03243e-01  4.15929e-01  5.68154e-03  1.31494e+00  3.12028e-06  1.00000e+01  0.00000e+00 
   3.89606e-01  4.94894e-01  7.19004e-03  1.01527e+00  4.78604e-06  2.80000e+01  0.00000e+00 
   4.00032e-01  3.98355e-01  4.47571e-03  1.50252e+00  3.85940e-06  1.50000e+01  0.00000e+00 
   3.10463e-01  5.58047e-01  4.15924e-03  8.06466e-01  5.25218e-06  3.40000e+01  0.00000e+00 
   3.97095e-01  5.13256e-01  4.90794e-03  1.16471e+00  3.09169e-06  9.00000e+00  0.00000e+00 
   3.59335e-01  4.63120e-01  5.62466e-03  9.66461e-01  2.65625e-06  3.00000e+00  0.00000e+00 
   3.83467e-01  3.49901e-01  4.52646e-03  1.63691e+00  4.05073e-06  2.00000e+01  0.00000e+00 
   4.12171e-01  4.77346e-01  3.31879e-03  1.35866e+00  2.59434e-06  0.00000e+00  0.00000e+00 
   3.18821e-01  5.76082e-01  4.47692e-03  1.35387e+00  3.89388e-06  1.80000e+01  0.00000e+00 
   3.10486e-01  2.22793e-01  7.15278e-03  1.48444e+00  4.73941e-06  2.60000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  5.06071e-03  1.61340e+00  4.21328e-06  2.10000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  4.23508e-03  1.45731e+00  5.39673e-06  3.60000e+01  0.00000e+00 
   3.15476e-01  1.75645e-01  7.45900e-03  1.38083e+00  5.48324e-06  3.70000e+01  0.00000e+00 
   3.79012e-01  5.61948e-01  6.60206e-03  1.61018e+00  4.93613e-06  3.00000e+01  0.00000e+00 
   3.95357e-01  5.30378e-01  4.27442e-03  1.11220e+00  3.86534e-06  1.60000e+01  0.00000e+00 
   4.03179e-01  1.99584e-01  6.96094e-03  1.59013e+00  4.42512e-06  2.30000e+01  0.00000e+00 
   4.36747e-01  2.18531e-01  6.01700e-03  1.39440e+00  4.83378e-06  2.90000e+01  0.00000e+00 
   4.49839e-01  2.30954e-01  7.61639e-03  1.51845e+00  5.54818e-06  3.80000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  6.37686e-03  1.38044e+00  2.86392e-06  6.00000e+00  0.00000e+00 
   3.41666e-01  4.32382e-01  7.29657e-03  1.15052e+00  4.74956e-06  2.70000e+01  0.00000e+00 
                                                                                      
generation    5.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.60342e-01  3.80077e-01  5.90274e-03  1.48268e+00  3.08864e-06  1.30000e+01  0.00000e+00 
   4.28430e-01  5.47761e-01  6.60206e-03  1.48950e+00  3.92307e-06  3.20000e+01  0.00000e+00 
   3.02445e-01  5.75986e-01  4.23508e-03  1.45731e+00  3.72756e-06  2.40000e+01  0.00000e+00 
   4.32430e-01  5.00873e-01  6.50660e-03  1.69521e+00  3.32213e-06  1.80000e+01  0.00000e+00 
   3.19313e-01  3.91566e-01  4.83614e-03  1.41263e+00  3.73951e-06  2.50000e+01  0.00000e+00 
   4.16866e-01  5.09999e-01  6.84465e-03  1.60942e+00  3.69850e-06  2.30000e+01  0.00000e+00 
   4.05548e-01  3.37741e-01  6.30252e-03  1.74219e+00  3.18839e-06  1.60000e+01  0.00000e+00 
   4.39820e-01  4.01025e-01  6.91770e-03  1.12754e+00  3.69439e-06  2.20000e+01  0.00000e+00 
   3.53060e-01  4.05824e-01  6.95362e-03  1.34449e+00  3.97886e-06  3.30000e+01  0.00000e+00 
   3.83274e-01  4.15796e-01  7.46846e-03  1.58198e+00  4.40826e-06  3.90000e+01  0.00000e+00 
   3.58070e-01  3.09558e-01  5.99950e-03  1.31508e+00  4.39416e-06  3.80000e+01  0.00000e+00 
   3.39741e-01  5.44303e-01  4.38953e-03  1.04878e+00  4.27033e-06  3.70000e+01  0.00000e+00 
   3.73933e-01  5.01889e-01  4.97813e-03  8.08304e-01  2.59995e-06  2.00000e+00  0.00000e+00 
   4.43582e-01  4.89043e-01  3.83593e-03  1.06664e+00  2.83100e-06  9.00000e+00  0.00000e+00 
   3.94805e-01  4.73807e-01  5.54706e-03  1.38992e+00  1.99373e-06  0.00000e+00  0.00000e+00 
   4.20363e-01  4.96826e-01  5.76001e-03  1.71475e+00  2.69799e-06  6.00000e+00  0.00000e+00 
   3.97771e-01  3.39277e-01  5.77350e-03  1.50099e+00  3.79131e-06  2.60000e+01  0.00000e+00 
   3.46169e-01  4.10574e-01  6.04444e-03  1.08292e+00  3.47928e-06  1.90000e+01  0.00000e+00 
   3.81476e-01  4.45981e-01  4.72028e-03  1.37484e+00  2.74451e-06  7.00000e+00  0.00000e+00 
   3.11946e-01  5.08360e-01  4.41491e-03  7.03815e-01  2.61698e-06  3.00000e+00  0.00000e+00 
   4.33813e-01  3.93068e-01  6.22643e-03  1.75168e+00  2.79678e-06  8.00000e+00  0.00000e+00 
   4.35180e-01  4.59010e-01  6.12838e-03  1.04112e+00  2.63594e-06  4.00000e+00  0.00000e+00 
   4.48851e-01  3.69835e-01  4.46767e-03  1.72912e+00  3.86746e-06  3.00000e+01  0.00000e+00 
   4.39941e-01  5.67924e-01  6.37637e-03  1.48268e+00  4.00273e-06  3.40000e+01  0.00000e+00 
   3.15984e-01  5.09999e-01  5.42413e-03  1.73204e+00  2.96803e-06  1.20000e+01  0.00000e+00 
   3.66746e-01  3.82893e-01  5.63451e-03  1.44235e+00  3.31999e-06  1.70000e+01  0.00000e+00 
   3.53057e-01  3.74980e-01  6.47090e-03  1.20729e+00  3.56196e-06  2.10000e+01  0.00000e+00 
   3.64467e-01  4.20711e-01  5.93994e-03  1.03259e+00  3.53472e-06  2.00000e+01  0.00000e+00 
   3.76063e-01  5.08331e-01  5.67097e-03  1.71307e+00  2.93940e-06  1.10000e+01  0.00000e+00 
   3.68764e-01  5.49740e-01  3.11368e-03  1.36860e+00  3.81642e-06  2.70000e+01  0.00000e+00 
   4.03243e-01  4.15929e-01  5.68154e-03  1.31494e+00  3.12028e-06  1.50000e+01  0.00000e+00 
   4.00032e-01  3.98355e-01  4.47571e-03  1.50252e+00  3.85940e-06  2.80000e+01  0.00000e+00 
   3.97095e-01  5.13256e-01  4.90794e-03  1.16471e+00  3.09169e-06  1.40000e+01  0.00000e+00 
   3.59335e-01  4.63120e-01  5.62466e-03  9.66461e-01  2.65625e-06  5.00000e+00  0.00000e+00 
   3.83467e-01  3.49901e-01  4.52646e-03  1.63691e+00  4.05073e-06  3.50000e+01  0.00000e+00 
   4.12171e-01  4.77346e-01  3.31879e-03  1.35866e+00  2.59434e-06  1.00000e+00  0.00000e+00 
   3.18821e-01  5.76082e-01  4.47692e-03  1.35387e+00  3.89388e-06  3.10000e+01  0.00000e+00 
   4.24380e-01  2.98202e-01  5.06071e-03  1.61340e+00  4.21328e-06  3.60000e+01  0.00000e+00 
   3.95357e-01  5.30378e-01  4.27442e-03  1.11220e+00  3.86534e-06  2.90000e+01  0.00000e+00 
   3.40000e-01  4.23856e-01  6.37686e-03  1.38044e+00  2.86392e-06  1.00000e+01  0.00000e+00 
                                                                                      
generation    6.00000e+00
         sol00z       sol00en             R            tt      nemirrms       mgorank  mgoviolations 
   3.40000e-01  3.77441e-01  5.95835e-03  1.79953e+00  2.63082e-06  8.00000e+00  0.00000e+00 
   4.23371e-01  4.57573e-01  5.47717e-03  1.77942e+00  1.91701e-06  0.00000e+00  0.00000e+00 
   3.97625e-01  5.25895e-01  5.35226e-03  1.51309e+00  3.17167e-06  2.40000e+01  0.00000e+00 
   3.51014e-01  4.49035e-01  6.22528e-03  1.38044e+00  2.68526e-06  1.10000e+01  0.00000e+00 
   3.13287e-01  3.80603e-01  6.54233e-03  1.07722e+00  3.71740e-06  3.60000e+01  0.00000e+00 
   3.78237e-01  4.59103e-01  6.03935e-03  1.45696e+00  2.44559e-06  3.00000e+00  0.00000e+00 
   3.76063e-01  4.73476e-01  4.68947e-03  1.27712e+00  2.06694e-06  2.00000e+00  0.00000e+00 
   3.86718e-01  3.92170e-01  4.93923e-03  1.47845e+00  3.59862e-06  3.30000e+01  0.00000e+00 
   3.01565e-01  5.07274e-01  6.13846e-03  8.66188e-01  3.21982e-06  2.60000e+01  0.00000e+00 
   4.36747e-01  4.70012e-01  4.44262e-03  1.23164e+00  2.49185e-06  4.00000e+00  0.00000e+00 
   4.43303e-01  4.86643e-01  3.49441e-03  1.01527e+00  3.51730e-06  3.00000e+01  0.00000e+00 
   4.01806e-01  5.01481e-01  5.74863e-03  1.51889e+00  2.86234e-06  1.60000e+01  0.00000e+00 
   3.81476e-01  4.36051e-01  4.21710e-03  1.61602e+00  2.91790e-06  1.80000e+01  0.00000e+00 
   3.60342e-01  3.80077e-01  5.90274e-03  1.48268e+00  3.08864e-06  2.10000e+01  0.00000e+00 
   3.02445e-01  5.75986e-01  4.23508e-03  1.45731e+00  3.72756e-06  3.70000e+01  0.00000e+00 
   4.32430e-01  5.00873e-01  6.50660e-03  1.69521e+00  3.32213e-06  2.80000e+01  0.00000e+00 
   3.19313e-01  3.91566e-01  4.83614e-03  1.41263e+00  3.73951e-06  3.80000e+01  0.00000e+00 
   4.16866e-01  5.09999e-01  6.84465e-03  1.60942e+00  3.69850e-06  3.50000e+01  0.00000e+00 
   4.05548e-01  3.37741e-01  6.30252e-03  1.74219e+00  3.18839e-06  2.50000e+01  0.00000e+00 
   4.39820e-01  4.01025e-01  6.91770e-03  1.12754e+00  3.69439e-06  3.40000e+01  0.00000e+00 
   3.73933e-01  5.01889e-01  4.97813e-03  8.08304e-01  2.59995e-06  6.00000e+00  0.00000e+00 
   4.43582e-01  4.89043e-01  3.83593e-03  1.06664e+00  2.83100e-06  1.50000e+01  0.00000e+00 
   3.94805e-01  4.73807e-01  5.54706e-03  1.38992e+00  1.99373e-06  1.00000e+00  0.00000e+00 
   4.20363e-01  4.96826e-01  5.76001e-03  1.71475e+00  2.69799e-06  1.20000e+01  0.00000e+00 
   3.97771e-01  3.39277e-01  5.77350e-03  1.50099e+00  3.79131e-06  3.90000e+01  0.00000e+00 
   3.46169e-01  4.10574e-01  6.04444e-03  1.08292e+00  3.47928e-06  2.90000e+01  0.00000e+00 
   3.81476e-01  4.45981e-01  4.72028e-03  1.37484e+00  2.74451e-06  1.30000e+01  0.00000e+00 
   3.11946e-01  5.08360e-01  4.41491e-03  7.03815e-01  2.61698e-06  7.00000e+00  0.00000e+00 
   4.33813e-01  3.93068e-01  6.22643e-03  1.75168e+00  2.79678e-06  1.40000e+01  0.00000e+00 
   4.35180e-01  4.59010e-01  6.12838e-03  1.04112e+00  2.63594e-06  9.00000e+00  0.00000e+00 
   3.15984e-01  5.09999e-01  5.42413e-03  1.73204e+00  2.96803e-06  2.00000e+01  0.00000e+00 
   3.66746e-01  3.82893e-01  5.63451e-03  1.44235e+00  3.31999e-06  2.70000e+01  0.00000e+00 
   3.53057e-01  3.74980e-01  6.47090e-03  1.20729e+00  3.56196e-06  3.20000e+01  0.00000e+00 
   3.64467e-01  4.20711e-01  5.93994e-03  1.03259e+00  3.53472e-06  3.10000e+01  0.00000e+00 
